ClassName,Category,ElementName,LocatorName,ExpectedText
Page_ImprovingNutritionCourse,courselesson1data,Lesson-1 Page-3 text,improvingnutrition_pagesheader,YOUR SOURCE OF NUTRITION INFORMATION
Page_ImprovingNutritionCourse,courselesson1data,Lesson-1 Page-4 text,improvingnutrition_pagesheader,ASSESSING YOUR CURRENT DIET
Page_ImprovingNutritionCourse,courselesson1data,Lesson-1 Page-5 text,improvingnutrition_pagesheader,GOAL SETTING
Page_ImprovingNutritionCourse,courselesson1data,Lesson-1 Page-6 text,improvingnutrition_pagesheader,HELPFUL TOOLS

Page_ImprovingNutritionCourse,courselesson2data,Lesson-2 Course Overview Header,courseoverviewheader,Course Overview
Page_ImprovingNutritionCourse,courselesson2data,Lesson-2 LinkText,secondlessontext,Getting Started
Page_ImprovingNutritionCourse,courselesson2data,Lesson-2 Overview Text,improvingnutrition_overviewheader,Overview
Page_ImprovingNutritionCourse,courselesson2data,Lesson-2 Page-1 text,improvingnutrition_pagesheader,no_element
Page_ImprovingNutritionCourse,courselesson2data,Lesson-2 Page-2 text,improvingnutrition_pagesheader,CONSEQUENCES OF POOR NUTRITION
Page_ImprovingNutritionCourse,courselesson2data,Lesson-2 Page-3 text,improvingnutrition_pagesheader,BENEFITS OF HEALTHY EATING
Page_ImprovingNutritionCourse,courselesson2data,Lesson-2 Page-4 text,improvingnutrition_pagesheader,THE DIETARY GUIDELINES FOR AMERICANS
Page_ImprovingNutritionCourse,courselesson2data,Lesson-2 Page-5 text,improvingnutrition_pagesheader,WHY DO YOU WANT TO CHANGE?

Page_ImprovingNutritionCourse,courselesson3data,Lesson-3 Course Overview Header,courseoverviewheader,Course Overview
Page_ImprovingNutritionCourse,courselesson3data,Lesson-3 LinkText,thirdlessontext,Nutrition 101
Page_ImprovingNutritionCourse,courselesson3data,Lesson-3 Overview Text,improvingnutrition_overviewheader,Overview
Page_ImprovingNutritionCourse,courselesson3data,Lesson-3 Page-1 text,improvingnutrition_pagesheader,no_element
Page_ImprovingNutritionCourse,courselesson3data,Lesson-3 Page-2 text,improvingnutrition_pagesheader,Types of Nutrients
Page_ImprovingNutritionCourse,courselesson3data,Lesson-3 Page-3 text,improvingnutrition_pagesheader,Protein
Page_ImprovingNutritionCourse,courselesson3data,Lesson-3 Page-4 text,improvingnutrition_pagesheader,Micronutrients: Vitamins and Minerals
Page_ImprovingNutritionCourse,courselesson3data,Lesson-3 Page-5 text,improvingnutrition_pagesheader,Dietary Reference Intakes
Page_ImprovingNutritionCourse,courselesson3data,Lesson-3 Page-6 text,improvingnutrition_pagesheader,Keeping a Food Diary

Page_ImprovingNutritionCourse,courselesson4data,Lesson-4 Course Overview Header,courseoverviewheader,Course Overview
Page_ImprovingNutritionCourse,courselesson4data,Lesson-4 LinkText,fourthlessontext,Feature Foods
Page_ImprovingNutritionCourse,courselesson4data,Lesson-4 Overview Text,improvingnutrition_overviewheader,Overview
Page_ImprovingNutritionCourse,courselesson4data,Lesson-4 Page-1 text,improvingnutrition_pagesheader,no_element
Page_ImprovingNutritionCourse,courselesson4data,Lesson-4 Page-2 text,improvingnutrition_pagesheader,FRUITS AND VEGETABLES
